Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan,Rasio Beban Ketergantungan,Kepadatan Penduduk (km²),Jumlah Tenaga Kesehatan,Fasilitas Kesehatan,Angka Kesakitan,Umur Harapan Hidup,Jaminan Kesehatan (PBI),Imunisasi Campak (%),Angka Harapan Sekolah (Thn),Rata-rata Lama Sekolah (Thn),AMH,APK SMA,Sarana Pendidikan,APM SMA (%),TPAK (%),TPT (%),Rata-Rata Upah/Gaji Buruh / Karyawan (juta),Angkatan Kerja,Gini Rasio,Konsumsi/Pengeluaran,Penduduk Miskin (%),Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Garis Kemiskinan,Sanitasi Layak,Sumber Penerangan PLN,Air Minum Layak,Rumah Layak Huni,Persentase Pengguna Internet Penduduk
Kabupaten Sumenep,1153.2,0.62,41.51,556,401,328,11.33,74.09,88.95,72.65,13.59,6.1,90.81,75.74,69.16,68.48,78.16,1.69,2083764,727.652,0.308,1530449,17.78,4.19,1.53,521366,81.09,92.57,99.26,79.17,54.14
Kota Kediri,298.2,1.03,43.03,4480,114,132,7.64,76.28,63.16,86.07,15.71,10.92,98.9,99.25,58.7,92.87,70.74,3.91,2509576,165.918,0.337,1532678,6.51,1.02,0.25,648506,98.19,100,100,86.99,83.69
Kota Blitar,154.9,0.98,43.62,4709,56,56,9.99,75.47,69.38,79.96,14.81,10.82,98.54,100.33,100,94.58,70.44,5.11,2524844,86.046,0.353,1468379,6.75,1.06,0.24,625337,97.99,100,97.94,89.75,84.98
Kota Malang,872.7,0.87,43.02,7921,170,175,9.46,75.88,48.89,73.08,15.79,11.14,99.24,103.13,124.56,86.66,67.52,6.1,3154607,465.095,0.422,1954957,3.91,0.42,0.08,737954,89.51,100,99.83,78.46,85.92
Kota Probolinggo,249.5,1.06,44.28,4610,67,69,7.34,74.64,63.2,60.39,13.98,9.72,96.16,92.39,86.21,88.82,67.55,4.44,2806260,129.602,0.344,1470650,6.18,0.98,0.21,683244,93.27,100,99.63,85.14,75.71
Kota Pasuruan,219.4,1.4,44.09,5701,59,69,9.69,75.19,76.37,71.28,13.67,9.94,98.98,92.57,67.65,83.91,72.72,4.63,3151103,121.466,0.334,1567251,6.32,0.7,0.12,588312,91.29,100,99.88,81.96,80.48
Kota Mojokerto,137.4,0.95,43.99,6855,53,48,8.36,76.31,55,77.07,14.13,11.38,99.22,105.25,94.44,87.84,72.68,3.76,3015113,77.965,0.357,1672493,5.57,0.74,0.13,630959,99.01,99.64,99.73,82.52,84.13
Kota Madiun,201.8,0.88,43.51,5634,73,71,6.71,76.11,62.7,84.85,14.54,12.11,99.84,90.48,85.19,79.96,70.6,4.3,3012823,115.142,0.435,2043739,4.38,0.56,0.09,666073,98.38,99.82,98.91,90.7,85.14
Kota Surabaya,2922,0.4,42.09,8727,485,514,40.09,76.34,64.77,78.97,14.87,10.89,99.39,87.51,103.92,70.99,70.49,4.91,3902451,1624822,0.381,2602456,3.96,0.65,0.16,775597,99.81,100,100,58.7,87.02
Kota Batu,222.7,1.15,41.84,1159,62,66,5.11,75.7,57.64,81.55,14.58,9.87,99.04,96.64,79.17,84.67,73.53,3.63,2945208,128.47,0.327,1735817,3.06,0.46,0.09,671273,96.99,100,99.35,88.36,81.96
